库大小	库名称
0.16K	Reachability
0.16K	KeychainAccess
0.12K	QuartzCore.tbd
0.12K	ImageIO.tbd
0.12K	JXPhotoBrowser
0.09K	CameraManager
0.09K	libresolv.tbd
0.09K	libswiftObjectiveC.tbd
0.09K	RxCocoa
0.06K	libswiftCoreGraphics.tbd
0.03K	DeviceKit
0.03K	Hue
0.03K	AVFoundation.tbd
0.00K	libswiftMapKit.tbd
0.00K	libswiftPhotos.tbd
0.00K	AFNetworking
0.00K	WebKit.tbd
0.00K	libswiftCoreMIDI.tbd
0.00K	libswiftsimd.tbd
0.00K	libswiftCoreImage.tbd
0.00K	libswiftAVFoundation.tbd
0.00K	AdSupport.tbd
0.00K	FMDB
0.00K	libswiftCoreAudio.tbd
0.00K	CoreMotion.tbd
0.00K	MJRefresh
0.00K	libswiftDarwin.tbd
0.00K	libswiftCoreFoundation.tbd
0.00K	libswiftCoreMedia.tbd
0.00K	HXPhotoPicker
0.00K	QuickLook.tbd
0.00K	libswiftQuartzCore.tbd
0.00K	Foundation.tbd
0.00K	libswiftUniformTypeIdentifiers.tbd
0.00K	libswiftDataDetection.tbd
0.00K	MediaPlayer.tbd
0.00K	CoreImage.tbd
0.00K	libswiftCoreLocation.tbd
0.00K	SVProgressHUD
0.00K	DGActivityIndicatorView
0.00K	GLKit.tbd
0.00K	libswiftos.tbd
0.00K	Photos.tbd
0.00K	CoreLocation.tbd
0.00K	libswiftWebKit.tbd
0.00K	libswiftMetal.tbd
0.00K	libswiftQuickLook.tbd
0.00K	libswiftMediaPlayer.tbd
0.00K	ReplayKit.tbd
0.00K	libswiftPhotosUI.tbd
0.00K	YYKit
0.00K	CoreTelephony.tbd
0.00K	libswiftFileProvider.tbd
0.00K	libswiftAccelerate.tbd

总大小: 4158.86M
